x,y,z,r,g,b,distance_to_cam,class,class_r,class_g,class_b,frame_index,depth_uncertainty
-0.04541015625,-0.025488281249999998,0.0738664275535231,98,134,103,0.07385126,5,194,178,128,0,0.0
-0.04541015625,-0.024902343749999997,0.07387031592677903,132,169,134,0.07385126,5,194,178,128,0,0.0
-0.04541015625,-0.02431640625,0.07387139136883036,143,176,135,0.07385126,5,194,178,128,0,0.0
-0.04541015625,-0.023730468749999997,0.07386887186462213,170,200,157,0.073853396,18,161,153,128,0,0.0
-0.04541015625,-0.023144531249999996,0.07386774874541686,153,189,146,0.073853396,18,161,153,128,0,0.0
-0.04541015625,-0.022558593749999998,0.07386433061281296,142,173,133,0.073853396,18,161,153,128,0,0.0
-0.04541015625,-0.02138671875,0.07385699845380173,127,154,118,0.073853396,18,161,153,128,0,0.0
-0.04541015625,-0.020800781249999997,0.07385275376398724,175,202,170,0.07383321,5,194,178,128,0,0.0
-0.04541015625,-0.020214843749999996,0.07384870437722794,132,160,122,0.07383321,5,194,178,128,0,0.0
-0.04541015625,-0.019628906249999998,0.07384415290397023,158,191,151,0.07383321,5,194,178,128,0,0.0
-0.04541015625,-0.01904296875,0.07384107932219257,157,187,149,0.07383321,5,194,178,128,0,0.0
-0.04482421875,-0.026660156249999997,0.07385731982226838,89,115,89,0.073857784,6,224,118,119,0,0.0
-0.04482421875,-0.026074218749999996,0.07386298109058631,99,120,86,0.073857784,6,224,118,119,0,0.0
-0.04482421875,-0.025488281249999998,0.07386676550213761,92,124,95,0.073857784,6,224,118,119,0,0.0
-0.04482421875,-0.024902343749999997,0.07387071068147713,106,138,104,0.073857784,6,224,118,119,0,0.0
-0.04482421875,-0.02431640625,0.07387276413279027,141,173,130,0.073857784,6,224,118,119,0,0.0
-0.04482421875,-0.023730468749999997,0.07387060267801007,167,196,152,0.073853396,18,161,153,128,0,0.0
-0.04482421875,-0.023144531249999996,0.07386998857626119,157,191,148,0.073853396,18,161,153,128,0,0.0
-0.04482421875,-0.022558593749999998,0.07386630755739153,162,202,160,0.073853396,18,161,153,128,0,0.0
-0.04482421875,-0.02138671875,0.07385815073281525,149,181,140,0.073853396,18,161,153,128,0,0.0
-0.04482421875,-0.020800781249999997,0.07385356841036504,126,155,120,0.0738382,18,161,153,128,0,0.0
-0.04482421875,-0.020214843749999996,0.07384924381452497,131,160,125,0.0738382,18,161,153,128,0,0.0
-0.04482421875,-0.019628906249999998,0.07384567545173042,113,144,106,0.0738382,18,161,153,128,0,0.0
-0.04423828125,-0.026660156249999997,0.07385814629275854,95,117,85,0.073857784,6,224,118,119,0,0.0
